accommodation_id,name,type,address,city,country,postal_code,latitude,longitude,star_rating,amenities,room_types,check_in_time,check_out_time,cancellation_policy,pet_policy,parking_available,wifi_available,breakfast_included,gym_available,pool_available,spa_available,business_center,room_service,concierge_service,contact_phone,contact_email,images,description,created_at,updated_at
ACC601924,Lodge Lodge Liwa,Lodge,"3041 Broadway, Liwa",Liwa,United Arab Emirates,37531,-10.260412,69.940544,4,"[""Gym"", ""Concierge"", ""24/7 Front Desk"", ""Golf Course"", ""Pet Friendly""]","[""Presidential Suite"", ""Studio"", ""Single Room""]",14:00,12:00,Free cancellation,Pets on request,False,True,True,False,True,True,True,False,False,+14-392-955-7767,info@lodgelodgeliwa.com,"[""https://example.com/images/lodge_lodge_liwa_1.jpg"", ""https://example.com/images/lodge_lodge_liwa_2.jpg"", ""https://example.com/images/lodge_lodge_liwa_3.jpg"", ""https://example.com/images/lodge_lodge_liwa_4.jpg"", ""https://example.com/images/lodge_lodge_liwa_5.jpg"", ""https://example.com/images/lodge_lodge_liwa_6.jpg""]",Discover the perfect blend of modern amenities and traditional hospitality at Lodge Lodge Liwa.,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC406084,Villa Inn Fremantle,Inn,"4843 Pine St, Fremantle",Fremantle,Australia,21067,10.535825,18.636726,4,"[""Bar"", ""Laundry Service"", ""Room Service"", ""Restaurant"", ""Golf Course"", ""Airport Shuttle"", ""Parking"", ""24/7 Front Desk"", ""Pet Friendly"", ""Pool""]","[""Double Room"", ""Suite"", ""Deluxe Room"", ""Cabin"", ""Studio"", ""Standard Room""]",15:00,12:00,Free cancellation,No pets allowed,True,False,True,True,True,False,True,True,False,+22-670-924-4081,info@villainnfremantle.com,"[""https://example.com/images/villa_inn_fremantle_1.jpg"", ""https://example.com/images/villa_inn_fremantle_2.jpg""]",Discover the perfect blend of modern amenities and traditional hospitality at Villa Inn Fremantle.,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC175253,Royal Motel Victoria,Motel,"4212 Oak St, Victoria",Victoria,Canada,20838,51.879462,25.157954,5,"[""Beach Access"", ""Room Service"", ""Fitness Center"", ""WiFi"", ""Laundry Service"", ""Elevator"", ""Pool"", ""Pet Friendly"", ""Dry Cleaning""]","[""Studio"", ""Pool View Room"", ""Suite"", ""Presidential Suite"", ""Villa"", ""Standard Room"", ""Family Room"", ""Deluxe Room""]",14:00,12:00,Non-refundable,Pet friendly,True,False,False,True,False,True,True,False,True,+99-208-305-2801,info@royalmotelvictoria.com,"[""https://example.com/images/royal_motel_victoria_1.jpg"", ""https://example.com/images/royal_motel_victoria_2.jpg""]",Discover the perfect blend of modern amenities and traditional hospitality at Royal Motel Victoria.,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC273070,Grand Cairns Palace,Resort,"1682 Park Ave, Cairns",Cairns,Australia,27363,55.007207,77.806845,3,"[""Elevator"", ""Airport Shuttle"", ""Fitness Center"", ""Pool"", ""Parking"", ""Spa"", ""Tennis Court"", ""Pet Friendly"", ""24/7 Front Desk"", ""Golf Course"", ""Gym"", ""Beach Access"", ""Restaurant"", ""Room Service"", ""Bar""]","[""Twin Room"", ""Ocean View Room"", ""Villa""]",16:00,11:00,Partial refund,Pet friendly,False,False,True,False,False,False,True,True,True,+11-186-966-2757,info@grandcairnspalace.com,"[""https://example.com/images/grand_cairns_palace_1.jpg"", ""https://example.com/images/grand_cairns_palace_2.jpg"", ""https://example.com/images/grand_cairns_palace_3.jpg"", ""https://example.com/images/grand_cairns_palace_4.jpg""]",Discover the perfect blend of modern amenities and traditional hospitality at Grand Cairns Palace.,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC366125,Lodge Villa Albany,Villa,"1663 First Ave, Albany",Albany,United States,40569,28.06002,-170.51933,1,"[""Golf Course"", ""Gym"", ""24/7 Front Desk"", ""Business Center"", ""Fitness Center""]","[""Garden View Room"", ""Family Room"", ""Studio"", ""City View Room"", ""Ocean View Room"", ""Presidential Suite"", ""Cabin"", ""Villa""]",16:00,13:00,Free cancellation,Pets on request,False,True,False,False,True,False,False,False,False,+18-619-144-4098,info@lodgevillaalbany.com,"[""https://example.com/images/lodge_villa_albany_1.jpg"", ""https://example.com/images/lodge_villa_albany_2.jpg"", ""https://example.com/images/lodge_villa_albany_3.jpg"", ""https://example.com/images/lodge_villa_albany_4.jpg"", ""https://example.com/images/lodge_villa_albany_5.jpg""]",Immerse yourself in the culture of Albany while enjoying world-class facilities at Lodge Villa Albany.,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC922476,Plaza Villa Stuttgart,Villa,"9891 First Ave, Stuttgart",Stuttgart,Germany,56051,-51.764348,113.774526,2,"[""Spa"", ""WiFi"", ""Beach Access"", ""Room Service"", ""Gym"", ""Golf Course"", ""Elevator"", ""Parking"", ""Airport Shuttle""]","[""Family Room"", ""Cabin"", ""Garden View Room"", ""Twin Room""]",16:00,12:00,Free cancellation,Pets on request,True,True,True,False,True,True,True,True,False,+31-299-883-3484,info@plazavillastuttgart.com,"[""https://example.com/images/plaza_villa_stuttgart_1.jpg"", ""https://example.com/images/plaza_villa_stuttgart_2.jpg"", ""https://example.com/images/plaza_villa_stuttgart_3.jpg"", ""https://example.com/images/plaza_villa_stuttgart_4.jpg""]","Relax and unwind at Plaza Villa Stuttgart, where every detail is designed for your comfort.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC988100,Palace Motel Vancouver,Motel,"429 Broadway, Vancouver",Vancouver,Canada,61622,63.26703,57.616013,3,"[""Concierge"", ""Gym"", ""Pool"", ""Elevator"", ""Business Center"", ""Golf Course"", ""Restaurant"", ""Spa"", ""Tennis Court""]","[""Double Room"", ""Garden View Room"", ""Villa"", ""Suite"", ""Presidential Suite"", ""Family Room"", ""Twin Room""]",16:00,13:00,Free cancellation,Pets on request,True,True,True,True,True,True,True,False,True,+23-995-911-7133,info@palacemotelvancouver.com,"[""https://example.com/images/palace_motel_vancouver_1.jpg"", ""https://example.com/images/palace_motel_vancouver_2.jpg"", ""https://example.com/images/palace_motel_vancouver_3.jpg"", ""https://example.com/images/palace_motel_vancouver_4.jpg"", ""https://example.com/images/palace_motel_vancouver_5.jpg"", ""https://example.com/images/palace_motel_vancouver_6.jpg""]","Experience luxury and comfort at Palace Motel Vancouver, located in the heart of Vancouver.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC613612,Royal Bed & Breakfast Jebel Jais,Bed & Breakfast,"736 Elm St, Jebel Jais",Jebel Jais,United Arab Emirates,52831,9.471651,-146.484708,2,"[""24/7 Front Desk"", ""Business Center"", ""Laundry Service"", ""Gym"", ""Fitness Center"", ""Spa"", ""Dry Cleaning"", ""Tennis Court"", ""Golf Course"", ""Bar"", ""Room Service"", ""Parking"", ""Restaurant"", ""Beach Access"", ""Pool""]","[""Cabin"", ""Single Room"", ""Twin Room"", ""Presidential Suite"", ""Standard Room"", ""City View Room"", ""Suite"", ""Villa""]",15:00,12:00,Free cancellation,No pets allowed,False,False,True,False,False,True,True,True,False,+81-108-274-8892,info@royalbed&breakfastjebeljais.com,"[""https://example.com/images/royal_bed_&_breakfast_jebel_jais_1.jpg"", ""https://example.com/images/royal_bed_&_breakfast_jebel_jais_2.jpg"", ""https://example.com/images/royal_bed_&_breakfast_jebel_jais_3.jpg"", ""https://example.com/images/royal_bed_&_breakfast_jebel_jais_4.jpg"", ""https://example.com/images/royal_bed_&_breakfast_jebel_jais_5.jpg"", ""https://example.com/images/royal_bed_&_breakfast_jebel_jais_6.jpg""]","Relax and unwind at Royal Bed & Breakfast Jebel Jais, where every detail is designed for your comfort.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC294228,Palace Allentown Palace,Hotel,"2715 Broadway, Allentown",Allentown,United States,82185,-59.418438,-161.893185,1,"[""24/7 Front Desk"", ""Laundry Service"", ""Concierge"", ""Dry Cleaning"", ""Business Center"", ""Spa"", ""Parking"", ""WiFi"", ""Fitness Center"", ""Airport Shuttle"", ""Pool"", ""Bar"", ""Pet Friendly"", ""Tennis Court""]","[""Presidential Suite"", ""Family Room"", ""Studio"", ""Pool View Room"", ""Suite"", ""Single Room"", ""Ocean View Room"", ""Deluxe Room""]",15:00,11:00,Free cancellation,Pet friendly,True,False,False,False,False,False,True,True,False,+96-697-625-2174,info@palaceallentownpalace.com,"[""https://example.com/images/palace_allentown_palace_1.jpg"", ""https://example.com/images/palace_allentown_palace_2.jpg""]","Your gateway to Allentown, Palace Allentown Palace offers exceptional service and stunning views.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
ACC770989,Grand Cabin Roppongi,Cabin,"2855 Elm St, Roppongi",Roppongi,Japan,17761,40.352937,70.99921,1,"[""Bar"", ""Gym"", ""Room Service"", ""Tennis Court"", ""Laundry Service"", ""Pool"", ""Parking"", ""Beach Access"", ""Spa"", ""Golf Course"", ""Fitness Center""]","[""Studio"", ""City View Room"", ""Family Room"", ""Pool View Room"", ""Cabin"", ""Penthouse"", ""Deluxe Room""]",15:00,11:00,Free cancellation,Pets on request,True,False,True,False,False,True,True,False,False,+41-487-351-6708,info@grandcabinroppongi.com,"[""https://example.com/images/grand_cabin_roppongi_1.jpg"", ""https://example.com/images/grand_cabin_roppongi_2.jpg"", ""https://example.com/images/grand_cabin_roppongi_3.jpg"", ""https://example.com/images/grand_cabin_roppongi_4.jpg"", ""https://example.com/images/grand_cabin_roppongi_5.jpg"", ""https://example.com/images/grand_cabin_roppongi_6.jpg"", ""https://example.com/images/grand_cabin_roppongi_7.jpg""]","Your gateway to Roppongi, Grand Cabin Roppongi offers exceptional service and stunning views.",2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
