flight_id,flight_number,airline,aircraft_type,departure_airport,arrival_airport,departure_time,arrival_time,duration_minutes,available_seats,seat_configuration,price_economy,price_business,price_first,meal_service,baggage_allowance,layovers,status,created_at,updated_at
FL365768,LH7397,Lufthansa,Boeing 787,JUM,WIE,2026-08-18T22:23:57Z,2026-08-19T17:43:57Z,1160,108,3-3,461,1783,3000,Special Diet,No Baggage,3+ Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL557017,XX2052,Alitalia,Airbus A380,CIN,MRS,2026-09-01T14:38:57Z,2026-09-02T12:18:57Z,1300,382,1-2-1,860,2349,6716,Snack,Extra Baggage,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL254570,CX3519,Cathay Pacific,Airbus A330,NAK,AL ,2026-02-03T22:08:57Z,2026-02-04T20:55:57Z,1367,84,2-3-2,884,2653,4909,Snack,32kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL882803,XX6062,Japan Airlines,Bombardier CRJ,DER,HAK,2025-11-30T08:08:57Z,2025-11-30T19:27:57Z,679,252,3-3,597,1498,3167,Full Meal,No Baggage,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL920382,XX4329,Iberia,Airbus A350,LIS,POR,2026-05-10T23:23:57Z,2026-05-11T06:37:57Z,434,70,1-2-1,1666,4750,12153,Snack,No Baggage,3+ Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL539521,AF4690,Air France,Airbus A350,SYR,REG,2026-09-19T13:08:57Z,2026-09-20T00:38:57Z,690,341,3-3,613,2066,4075,No Meal,32kg,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL664731,UA5680,United Airlines,Boeing 787,PER,MUR,2026-06-16T23:08:57Z,2026-06-17T19:33:57Z,1225,266,2-4-2,785,2995,5765,Full Meal,Extra Baggage,2 Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL798869,UA7348,United Airlines,Boeing 777,LHR,WHY,2025-12-29T09:53:57Z,2025-12-29T12:58:57Z,185,387,2-4-2,1291,4059,7714,Special Diet,No Baggage,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL752524,XX7229,Saudia,Airbus A330,AL ,ERI,2026-09-02T18:08:57Z,2026-09-03T01:05:57Z,417,309,3-4-3,1419,3896,9574,Full Meal,No Baggage,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL500991,DL5572,Delta Air Lines,Bombardier CRJ,MAN,BAL,2026-09-14T14:38:57Z,2026-09-15T05:23:57Z,885,323,2-2-2,242,941,1252,Full Meal,Extra Baggage,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL500423,XX3427,Etihad Airways,ATR 72,POR,TAL,2025-09-22T01:08:57Z,2025-09-22T17:30:57Z,982,102,2-2,1486,4064,9780,Special Diet,No Baggage,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL794378,XX8395,LATAM Airlines,Airbus A350,AL ,LEE,2026-03-18T12:23:57Z,2026-03-19T02:29:57Z,846,55,3-3-3,731,2837,3793,Special Diet,32kg,1 Stop,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL478594,XX9455,Aeromexico,Boeing 787,AUG,SHE,2026-01-12T19:23:57Z,2026-01-12T21:21:57Z,118,368,1-2-1,1185,3988,5975,Snack,Extra Baggage,Direct,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL878245,XX5168,Qantas,Boeing 747,ARA,FRA,2026-06-02T01:53:57Z,2026-06-02T18:29:57Z,996,92,2-2-2,1950,6589,14128,Special Diet,23kg,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL529317,XX2513,Air Canada,Boeing 747,BÉZ,NIS,2025-12-08T15:08:57Z,2025-12-09T03:16:57Z,728,180,1-2-1,705,2627,4118,Special Diet,Extra Baggage,1 Stop,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL211481,WN9021,Southwest Airlines,Boeing 757,MRS,DOR,2026-09-11T06:53:57Z,2026-09-12T06:29:57Z,1416,260,2-3-2,1645,5057,8576,No Meal,23kg,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL973623,XX7614,Scandinavian Airlines,Airbus A380,TOW,CAR,2025-12-20T16:23:57Z,2025-12-21T05:45:57Z,802,281,1-2-1,841,2256,5091,No Meal,23kg,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL537041,XX7131,Qantas,Boeing 737,TEN,REG,2026-09-18T11:53:57Z,2026-09-19T11:46:57Z,1433,129,2-2-2,1372,3729,9057,Snack,23kg,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL411263,XX7951,Scandinavian Airlines,Boeing 757,POR,LEI,2025-10-26T17:53:57Z,2025-10-26T20:55:57Z,182,148,2-4-2,1990,7742,15635,No Meal,Extra Baggage,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL766489,AF9254,Air France,Embraer E-Jet,LAV,ORL,2026-07-15T09:53:57Z,2026-07-16T09:27:57Z,1414,189,2-3-2,619,1725,3731,Snack,Extra Baggage,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL470268,DL3871,Delta Air Lines,Boeing 747,AL ,MON,2025-12-23T01:23:57Z,2025-12-23T02:46:57Z,83,325,3-4-3,1808,6262,14212,Full Meal,No Baggage,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL226156,XX1886,Korean Air,Airbus A380,FOR,DAR,2026-01-06T10:08:57Z,2026-01-06T21:36:57Z,688,281,3-3,752,2949,5262,No Meal,No Baggage,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL327603,DL9626,Delta Air Lines,ATR 72,DAR,LHR,2025-11-20T01:23:57Z,2025-11-20T12:02:57Z,639,362,2-3-2,1506,4235,7909,Special Diet,No Baggage,2 Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL822701,EK6589,Emirates,Embraer E-Jet,GRE,AKR,2026-04-09T22:23:57Z,2026-04-10T00:51:57Z,148,191,3-3,553,1921,3250,No Meal,Extra Baggage,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL423467,XX1722,All Nippon Airways,Embraer E-Jet,HIG,NEW,2026-02-24T00:38:57Z,2026-02-24T02:57:57Z,139,67,1-2-1,344,1045,2537,Special Diet,32kg,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL956381,XX1208,Turkish Airlines,Boeing 737,KIT,AL ,2026-05-12T00:53:57Z,2026-05-12T16:07:57Z,914,354,2-2-2,1477,3867,11207,Full Meal,23kg,2 Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL962967,EK7517,Emirates,Boeing 787,BUN,DAR,2026-07-12T13:08:57Z,2026-07-13T07:39:57Z,1111,263,2-2-2,880,2890,5296,No Meal,No Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL920864,XX5261,Thai Airways,Bombardier CRJ,ORD,KUS,2026-03-02T14:53:57Z,2026-03-02T16:04:57Z,71,155,2-4-2,794,2832,4680,No Meal,No Baggage,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL142223,LH9685,Lufthansa,ATR 72,BAR,BUR,2026-02-15T05:08:57Z,2026-02-15T21:25:57Z,977,230,3-3,1128,3013,5936,Special Diet,No Baggage,2 Stops,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL743301,WN9780,Southwest Airlines,Boeing 737,VER,GLA,2026-03-02T02:08:57Z,2026-03-02T18:59:57Z,1011,258,2-3-2,646,2438,3441,Full Meal,23kg,Direct,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL485570,XX5083,Thai Airways,Boeing 777,BHX,FRE,2026-02-10T03:38:57Z,2026-02-10T06:31:57Z,173,165,3-3-3,1773,6965,9323,Snack,32kg,2 Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL750140,XX9248,Scandinavian Airlines,Airbus A380,BÉZ,NEW,2026-06-21T12:08:57Z,2026-06-21T20:06:57Z,478,118,2-3-2,1432,5523,7303,Full Meal,32kg,1 Stop,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL688659,AF8677,Air France,Boeing 737,EDI,UME,2026-03-17T17:38:57Z,2026-03-18T07:17:57Z,819,119,3-4-3,1788,4846,9117,Full Meal,Extra Baggage,Direct,Scheduled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL122409,CX6543,Cathay Pacific,Bombardier CRJ,CHE,POR,2026-06-04T20:38:57Z,2026-06-05T19:02:57Z,1344,289,1-2-1,1331,4728,9206,No Meal,Extra Baggage,3+ Stops,Cancelled,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL149004,UA7634,United Airlines,Airbus A350,YEG,SAA,2026-02-28T17:08:57Z,2026-02-28T19:39:57Z,151,123,2-2,1552,4901,9469,No Meal,No Baggage,Direct,Boarding,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL245715,XX7427,Saudia,Boeing 747,NUR,CDG,2025-10-07T18:08:57Z,2025-10-07T20:17:57Z,129,150,2-2,689,2026,3939,Full Meal,23kg,3+ Stops,On Time,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
FL936894,XX3113,Alitalia,Boeing 757,ASA,YUL,2026-09-16T20:53:57Z,2026-09-17T10:10:57Z,797,386,3-3,684,2249,4483,Full Meal,Extra Baggage,3+ Stops,Delayed,2025-09-21T08:53:57Z,2025-09-21T08:53:57Z
